State,POP total,,TOT_MALE,TOT_FEMALE,WHITE,HISPANIC,BLACK,ASIAN,NATIVE,OTHER,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,age-1-years,age-1-4-years,age-5-14-years,age-15-29-years,age-30-44-years,age-45-59-years,age-60-74-years,age-75-years,sum_age_dist
USA,237391946,,0.491867712861268,0.508132287138729,0.675706864800022,0.143469006500544,0.116964166651562,0.052907029871786,0.010071132778007,0.000881799398084,0.062419308130133,0.063647236236457,0.063883315565267,0.06574955225066,0.071758272904851,0.071588742223043,0.068798136005951,0.063989899676485,0.062939603019204,0.064827552947251,0.069226103210475,0.067543500494461,0.058649520600946,0.048671251628267,0.034445450294364,0.024473449319272,0.017716855197726,0.019672250295188,0.015604827032533,0.0468144810976,0.127530551801724,0.209096567378554,0.195727638701639,0.201597156652187,0.141766222523578,0.061862554812185,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,POP total,,TOT_MALE,TOT_FEMALE,WHITE,HISPANIC,BLACK,ASIAN,NATIVE,OTHER,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,age-1-years,age-1-4-years,age-5-14-years,age-15-29-years,age-30-44-years,age-45-59-years,age-60-74-years,age-75-years,sum_age_dist
Alabama,2964990,,0.482875223493528,0.517124776506471,0.652207995124243,0.039833362995527,0.285977566806901,0.014925648631572,0.006079945007425,0.000975481434332,0.061060040004874,0.063408724185354,0.063659661392712,0.065985846939532,0.071638117732912,0.068305259973103,0.064421453056733,0.061687882590309,0.062725037851057,0.063155817281454,0.069606520432851,0.069113478540812,0.061396177321946,0.052586373525923,0.037740209607688,0.027140534671231,0.018717622173554,0.017651242717957,0.015265010001219,0.045795030003656,0.127068385578065,0.205929224645548,0.188834373498099,0.201875816255117,0.151722760455556,0.063509399562742,1
Alaska,512985,,0.523403869678257,0.476596130321743,0.631432063731241,0.076827297568136,0.045494471636378,0.077948516480215,0.167282374250981,0.001015276333049,0.075553169685948,0.069782892435605,0.065673822933764,0.064960028930117,0.084763641197338,0.0887966751781,0.078082931440083,0.063925783291399,0.058761432646181,0.06058249561403,0.067880820744132,0.067969835801771,0.056686547918536,0.040186217770673,0.024328646822734,0.014368639920161,0.00903358374371,0.008662833925718,0.018888292421487,0.056664877264461,0.135456715369369,0.238520345305555,0.200770147377663,0.196433152159933,0.121201412511943,0.032065057589589,1
Arizona,5414378,,0.495884146208898,0.504115853791102,0.658408648596441,0.239485321401907,0.040126543157511,0.028453676743058,0.032742245137717,0.000783564963366,0.063411499729143,0.067844388388515,0.06751377155682,0.067680860678781,0.07102354562175,0.069656478656532,0.066513803517099,0.063007720896179,0.062419499876304,0.061448001324326,0.063498850486424,0.061651961563109,0.055767149951259,0.052282404004679,0.039984008259465,0.028295424236323,0.019134354305482,0.01886627694781,0.015852874932286,0.047558624796857,0.135358159945335,0.208360884957063,0.191941024289583,0.186598813373859,0.148033562215403,0.066296055489615,1
Arkansas,1956966,,0.490113500372381,0.509886499627619,0.733316377235296,0.071199471280932,0.16859540361572,0.016666553275536,0.009271945166583,0.000950249425934,0.065746139761019,0.067397975393796,0.06676891907315,0.066972673159635,0.071159326469996,0.068241859027419,0.066533132250739,0.062930746767505,0.06169593559343,0.060753715013425,0.06673464832376,0.064897434359396,0.058314696303586,0.05083537517219,0.037687756843848,0.026828510959883,0.018490745706781,0.018010409820441,0.016436534940255,0.049309604820765,0.134166894466946,0.206373858657049,0.191159814611675,0.192385797696582,0.146837828319624,0.063329666487105,1
California,32606366,,0.496475945830367,0.503524054169633,0.535658570279855,0.283463797362435,0.049239651719877,0.119192950868371,0.011696834995863,0.0007481947736,0.064031648612862,0.064639248570985,0.064112673523471,0.066171738329888,0.073470728674859,0.077496029099053,0.073027380190168,0.067408206763147,0.066265202401135,0.067033997196432,0.067693256440043,0.063687803526909,0.053805834598668,0.044106171681814,0.030920791102417,0.022129865765678,0.015993332572585,0.018006090949886,0.016007912153216,0.048023736459646,0.128751922094456,0.2171384961038,0.20670078935445,0.198415057163384,0.128832797382899,0.056129289288149,1
Colorado,4036804,,0.50197579820494,0.49802420179506,0.73294832802822,0.182039030531518,0.042279749529778,0.029029724684421,0.012858768558712,0.000844398667351,0.062508767275143,0.065355844904844,0.065020965212122,0.063433760401004,0.0729419355309,0.07968000294,0.077167890224797,0.069662219348087,0.066057649074364,0.063241546788893,0.065530365163463,0.065131620070811,0.057185977214301,0.046432908508479,0.030532333723294,0.020453971380769,0.014357967253372,0.015304274985359,0.015627191818786,0.046881575456357,0.130376810116966,0.216055698871903,0.212887758647247,0.193903532023167,0.134151219446074,0.050116213619501,1
Connecticut,3427412,,0.487676104273941,0.512323895726059,0.715749388440005,0.135447686047086,0.102444887373056,0.040844265085634,0.004629470566256,0.000884302487963,0.052288290945131,0.05739121134594,0.062953876847371,0.069794276547993,0.068674959890068,0.061473027624694,0.061393128491861,0.058859401228959,0.06137205492476,0.071457780184059,0.078387393615575,0.075577464437541,0.062698205882977,0.050752206464068,0.036736799585115,0.025324145032798,0.019747317853609,0.025118459097482,0.013072072736283,0.039216218208848,0.120345088193311,0.199942264062755,0.18162458464558,0.225422638237174,0.150187211932159,0.07018992198389,1
